"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 21:18:37 GST 2023","Wed Dec 06 21:18:38 GST 2023","931","","APITest","","APITest","testCurrencyApi","Test Currency API","Test to ensure the currency list API returns correct data"
"passed","Wed Dec 06 21:18:35 GST 2023","Wed Dec 06 21:18:37 GST 2023","1548","","APITest","","APITest","testCmsPageDataRetrieval","Test CMS Page Data API","Test to ensure the CMS page API returns the correct data"
